translationKey,sourceValue,overrideValue
column_heading.action,Action,Action
reportsviewheading.Farmer_Registration_Status,Farmer Registration Status,Farmer Registration Status
custom_header.reportsgenerictemplate_column_decimal6,{ReportsGenericViewerLabels:column_decimal6},{ReportsGenericViewerLabels:column_decimal6}
custom_header.crop57,{DashboardUtil:uCrop57},{DashboardUtil:uCrop57}
custom_header.crop83,{DashboardUtil:uCrop83},{DashboardUtil:uCrop83}
custom_header.crop55,{DashboardUtil:uCrop55},{DashboardUtil:uCrop55}
column_heading.object_uuid,Object uuid,Object uuid
custom_header.crop81,{DashboardUtil:uCrop81},{DashboardUtil:uCrop81}
table_heading.Top_10_Value_Chains,Top 10 Value Chains,Top 10 Value Chains
table_heading.internal_support,Internal support,Internal support
sms.registration,"Dear {uUserName}, you have been registered for {solutionName}.","Dear {uUserName}, you have been registered for {solutionName}."
label.plot_LR,Plot LR,Plot LR
column_heading.date_edited,Date edited,Date edited
button_heading.submitComment,Submit,Submit
button.Process,Process,Process
column_heading.Female_Farmers,Female Farmers,Female Farmers
reportstableheading.Farmer_Registration_Status,Farmer Registration Status,Farmer Registration Status
label.expiry_days,Expiry days,Expiry days
custom_header.crop73,{DashboardUtil:uCrop73},{DashboardUtil:uCrop73}
menu_item.groups,Groups,Groups
alert_error.sms.no_mobile,No mobile number.,No mobile number.
input.Unit_Test_Value,Unit Test Value,Unit Test Value
custom_header.reportsgenerictemplate_column_location3,{ReportsGenericViewerLabels:column_location3},{ReportsGenericViewerLabels:column_location3}
alert_error.invalid_farm_size,Invalid farm size.,Invalid farm size.
button.profile,Profile,Profile
column.paid,Paid,Paid
label.service_point_type,Service point type,Service point type
button.Create_Enterprise_Group,Create Enterprise Group,Create Enterprise Group
sms_invalid_request_response,"The sent message does not contain a valid request. Please start your message with 'REQUEST', 'RESEND MY VOUCHERS', 'VERIFY', 'REDEEM' or 'REGISTER' followed by a space and then the correct details for the specific request.","The sent message does not contain a valid request. Please start your message with 'REQUEST', 'RESEND MY VOUCHERS', 'VERIFY', 'REDEEM' or 'REGISTER' followed by a space and then the correct details for the specific request."
column.Service_Point,Service Point,Service Point
sms.voucher_redemption.not_qualified,"Dear {fFarmerName}, you do not qualify for vouchers from request code: {fRequestCode}.","Dear {fFarmerName}, you do not qualify for vouchers from request code: {fRequestCode}."
label.Bags_Subsidy_Amount,Subsidy Amount,Subsidy Amount
label.Farmers_Uploaded,Farmers Uploaded,Farmers Uploaded
view_heading.manage_extension_officer_profile,Manage extension officer profile,Manage extension officer profile
column.EnrollmentSMS,EnrollmentSMS,EnrollmentSMS
alert_error.no_actions_assigned,Please contact your system administrator to add actions for this Role.,Please contact your system administrator to add actions for this Role.
table_heading.Mobile_User_Details,Mobile User Details,Mobile User Details
button.manage,Manage,Manage
reportstableheading.Zanaco_Payment_Report,Zanaco Payment Report,Zanaco Payment Report
string_label.Device_Model,Device Model,Device Model
input.Message_Id,Message Id,Message Id
alert.uploadfile.confirmschedulebody,Please confirm that you wish to schedule this uploaded file for processing?,Please confirm that you wish to schedule this uploaded file for processing?
column_heading.Order_Total,Order Total,Order Total
label.date,Date,Date
view_heading.Edit_Sms_Type,Edit Sms Type,Edit Sms Type
button.add_farmer,Add farmer,Add farmer
column_heading.last_name,Last name,Last name
custom_header.reportsgenerictemplate_column_date4,{ReportsGenericViewerLabels:column_date4},{ReportsGenericViewerLabels:column_date4}
table_heading.season,Season,Season
table_heading.available_web_users_for_Service_Point,Available web users for Service Point,Available web users for Service Point
column_heading.Key,Key,Key
reports_received.Quantity_Received,Quantity Received,Quantity Received
button.View_LangFile,View LangFile,View LangFile
button_heading.Select,Select,Select
column.paymentPreference,PaymentPreference,PaymentPreference
view_heading.Manage_Stock_Locations,Manage Stock Locations,Manage Stock Locations
confirm_body.finalise,Are you sure you want to finalise voucher {uCropVoucherCode}.?,Are you sure you want to finalise voucher {uCropVoucherCode}.?
custom_header.crop91,{DashboardUtil:uCrop91},{DashboardUtil:uCrop91}
alert.object.voucher_template_no_days,Please enter a valid number for Active voucher days.,Please enter a valid number for Active voucher days.
input_label.is_mobile_action,Is mobile action,Is mobile action
column_heading.direction,Direction,Direction
view_heading.Capture_Stock,Capture Stock,Capture Stock
label.id_number,Id number,Id number
column.amount_redeemed,Amount redeemed,Amount redeemed
column_heading.modified,Modified,Modified
view_heading.Farmer_Search,Farmer Search,Farmer Search
label.id,Id,Id
row_action.Remove,Remove,Remove
custom_header.question_8,{Reportviewer:uQuestion8Header},{Reportviewer:uQuestion8Header}
reports_allocated.Allocated)(Bags),Allocated)(Bags),Allocated)(Bags)
column_heading.Status_Date,Status Date,Status Date
label.lipaMpesaTillNumber,LipaMpesaTillNumber,LipaMpesaTillNumber
column_heading.user_name,User name,User name
label.id,Id,Id
alert_error.no_message_origin,alert_error.no_message_origin,alert_error.no_message_origin
view_heading.Manage_Mobile_Users,Manage Mobile Users,Manage Mobile Users
alert.farmer.request.code_null,Request code is null,Request code is null
column_heading.voucher_batch_location,Voucher batch location,Voucher batch location
column_heading.farmer.nokrelationshiptype,nokrelationshiptype,nokrelationshiptype
column_heading.Translation,Translation,Translation
view_heading.farmer_sms_log,Farmer sms log,Farmer sms log
reports_fertilizerquantity.Fertilizer_Quantity_Gone_to_the_Crop_(Bags),Product Quantity Gone to the Enterprise (Bags),Product Quantity Gone to the Enterprise (Bags)
column_heading.Question,Question,Question
row_action.Remove,Remove,Remove
button.Complete,Complete,Complete
column.member_count,Member count,Member count
input.langfile_csv,Langfile csv,Langfile csv
label.Last_Updated,Last Updated,Last Updated
button.Delete,Delete,Delete
string_label.Current_Role,Current Role,Current Role
label.custom_Role_Name,Custom Role Name,Custom Role Name
view_heading.edit_Service_Point,Edit Service Point,Edit Service Point
column_heading.Mobile_Number,Mobile Number,Mobile Number
column.farmer_mobile,Farmer mobile,Farmer mobile
alert_error.function_name_required,Please enter a name for the scheduled function.,Please enter a name for the scheduled function.
confirm_body.removing_identity,Are you sure you would like to delete this kind of identification?,Are you sure you would like to delete this kind of identification?
sms.voucher_redemption.voucher_already_redeemed,"Dear {fFarmerName}, you have redeemed all the available vouchers for this voucher code {fRequestCode}. Thank you - {fProviderName}.","Dear {fFarmerName}, you have redeemed all the available vouchers for this voucher code {fRequestCode}. Thank you - {fProviderName}."
view_heading.View_Paid_Deposits,View Deposit Paid Orders,View Deposit Paid Orders
confirm_body.archive_user_?,Are you sure?,Are you sure?
reports_reportdescription.Date_Created,Date Created,Date Created
label.nok_last_name,Nok last name,Nok last name
custom_header.crop95,{DashboardUtil:uCrop95},{DashboardUtil:uCrop95}
input.label.fromDate,FromDate,FromDate
label.module,Module,Module
view_heading.edit_farmer,Edit farmer,Edit farmer
column.origin,Origin,Origin
label.reserved_total,Reserved total,Reserved total
column.Event_Description,Event Description,Event Description
custom_header.crop6,{DashboardUtil:uCrop6},{DashboardUtil:uCrop6}
reports_generic.Date_Modified,Date Modified,Date Modified
view_heading.Bank_Deposits,Bank Deposits,Bank Deposits
custom_header.reportsgenerictemplate_column_int5,{ReportsGenericViewerLabels:column_int5},{ReportsGenericViewerLabels:column_int5}
reportstableheading.Reports_Available,Reports Available,Reports Available
column.yield_estimate,Yield estimate,Yield estimate
view_heading.error_logs,Error logs,Error logs
column.new_quantity,New quantity,New quantity
label.paid_On,Paid On,Paid On
custom_header.crop5,{DashboardUtil:uCrop5},{DashboardUtil:uCrop5}
column_heading.Processed_Time,Processed Time,Processed Time
custom_header.stock_units,units,units
column_heading.field_description,Field description,Field description
custom_header.Aggregation_By_Type,{Reportviewer:uAggregationHeader},{Reportviewer:uAggregationHeader}
alert.select.error,Please select order you wish to confirm,Please select order you wish to confirm
info.locations_with_errors,Locations with errors,Locations with errors
label.vatNumber,VatNumber,VatNumber
column.Content,Content,Content
label.stock_item,Stock item,Stock item
custom_header.crop33,{DashboardUtil:uCrop33},{DashboardUtil:uCrop33}
column_heading.bags_av,Bags av,Bags av
view_heading.manage_stock_item,Manage stock item,Manage stock item
view_heading.manage_Location,Manage Location,Manage Location
alert.active_stock_found,Cannot archived as there is still stock available.,Cannot archived as there is still stock available.
alert.crop.still_active,Crop is still in use by the system.,Crop is still in use by the system.
column.max_bags,Max bags,Max bags
column.archived,Archived,Archived
alert_error.bulk_message_null,Bulk Message could not be created.,Bulk Message could not be created.
button_heading.Submit,Submit,Submit
column.Destination_Account,Destination Account,Destination Account
column_heading.user_role,User role,User role
label.Duplicate_Farmers,Duplicate Farmers,Duplicate Farmers
table_heading.Top_10_Value_Chains,Top 10 Value Chains,Top 10 Value Chains
label.Stock_Type_*,Stock Type *,Stock Type *
alert.Configurable_Object_Still_Active,Configurable Object still active,Configurable Object still active
confirm_body.Archive_Question,Are you sure you would like to archive this question?,Are you sure you would like to archive this question?
column.amount,Amount,Amount
label.nationalid_*,Nationalid *,Nationalid *
alert.notification.preregisteredfarmers,"Dear Extension Officer, {fCount} farmers have been pre-registered in your ward: {fLocation}. Please login to register them. Thank You.","Dear Extension Officer, {fCount} farmers have been pre-registered in your ward: {fLocation}. Please login to register them. Thank You."
label.role_group,Role group,Role group
button.toggle,Toggle,Toggle
error.no_recipients,No recipients specified.,No recipients specified.
menu_item.messaging,Messaging,Messaging
column_heading.mobile,Mobile,Mobile
confirm_body.remove_role,Are you sure you would like to remove this Report from this Role?,Are you sure you would like to remove this Report from this Role?
view_heading.farmer_Profile_-_Vouchers,Farmer Profile - Vouchers,Farmer Profile - Vouchers
alert.error.farmer_not_found,Farmer not found,Farmer not found
alert.uploadfile.confirmprocesssubject,Process Confirmation,Process Confirmation
info.approved,Messages approved.,Messages approved.
sms.voucher_redemption.voucher_redeemed,"Dear {fFarmerName}, you have now redeemed all the available {fUnits} for voucher batch: {fRequestCode}. Thank you - {fProviderName}.","Dear {fFarmerName}, you have now redeemed all the available {fUnits} for voucher batch: {fRequestCode}. Thank you - {fProviderName}."
button.check,Check,Check
view_heading.manage_farmer_payment,Manage farmer payment,Manage farmer payment
label.business_Permit_Number,Business Permit Number,Business Permit Number
table_heading.fertilizer_templates,Fertilizer templates,Fertilizer templates
view_heading.view_fertilizer_template,View fertilizer template,View fertilizer template
label.identification_type,Identification type,Identification type
label.crop_*,Enterprise *,Enterprise *
reports_redeemed.Quantity_Redeemed_(Bags),Quantity Redeemed (Bags),Quantity Redeemed (Bags)
custom_header.crop66,{DashboardUtil:uCrop66},{DashboardUtil:uCrop66}
column.bags_per_acre,Product Items/Enterprise Unit,Product Items/Enterprise Unit
label.mobile_triggered,Mobile triggered,Mobile triggered
alert.error.farmer_not_found_in_location,Farmer not found in this location,Farmer not found in this location
button_heading.test,Create Test,Create Test
button.Upload_heading_langfileentry,Upload heading langfileentry,Upload heading langfileentry
column_heading.message,Message,Message
button.Bulk_Management,Bulk Management,Bulk Management
view_heading.Form_Report,Form Report,Form Report
column.level,Level,Level
view_heading.System_Initiator,System Initiator,System Initiator
alert.stock.stock_recieved,Stock received,Stock received
view_heading.edit_Voucher_Template,Edit Voucher Template,Edit Voucher Template
view_heading.extension_Officer_Profile,Extension Officer Profile,Extension Officer Profile
view_heading.Create_Service_Point,Create Service Point,Create Service Point
table_heading.selected_web_users_for_Service_Point,Selected web users for Service Point,Selected web users for Service Point
label.Farmers_Uploaded,Farmers Uploaded,Farmers Uploaded
label.archived,Archived,Archived
button_heading.load,Load,Load
view_heading.edit_role_group,Edit role group,Edit role group
table_heading.Vouchers,Vouchers,Vouchers
custom_header.crop92,{DashboardUtil:uCrop92},{DashboardUtil:uCrop92}
custom_header.crop60,{DashboardUtil:uCrop60},{DashboardUtil:uCrop60}
alert_error.template.required_field,Please note this field is required: {field},Please note this field is required: {field}
custom_header.reportsgenerictemplate_column_string1,{ReportsGenericViewerLabels:column_string1},{ReportsGenericViewerLabels:column_string1}
sms.farmer_qualifies_for_subsidy,Dear {fFarmerName} You are eligible for {categoryName} vouchers from {fProviderName}. Please send an SMS containing 'REQUEST {voucherBatchCode}' to {fShortCode}.,Dear {fFarmerName} You are eligible for {categoryName} vouchers from {fProviderName}. Please send an SMS containing 'REQUEST {voucherBatchCode}' to {fShortCode}.
table_heading.Config_Pairs,Config Pairs,Config Pairs
alert.field.validation.string,{uFieldName} needs to be valid alphanumeric text.,{uFieldName} needs to be valid alphanumeric text.
view_heading.Create_Voucher_Template,Create Voucher Template,Create Voucher Template
confirm_subject.removing_identity,Delete identification,Delete identification
